iter	Passed	Remaining
470	780	876
471	782	875
472	784	873
473	785	872
474	787	869
475	788	867
476	789	865
477	790	863
478	791	861
479	793	859
480	794	857
481	797	857
482	799	855
483	800	853
484	801	851
485	802	849
486	804	847
487	805	844
488	806	842
489	807	839
490	808	837
491	809	835
492	810	833
493	814	833
494	815	831
495	816	829
496	817	827
497	818	825
498	819	822
499	820	820
500	821	818
501	822	816
502	823	814
503	825	812
504	828	811
505	829	810
506	831	808
507	832	806
508	833	804
509	835	802
510	836	800
511	838	798
512	839	796
513	842	796
514	844	795
515	845	792
516	846	790
517	847	788
518	848	786
519	849	784
520	851	782
521	852	780
522	853	778
523	854	776
524	855	774
525	857	772
526	858	770
527	859	768
528	860	766
529	861	763
530	862	761
531	863	759
532	864	757
533	865	755
534	866	753
535	868	751
536	869	749
537	871	748
538	872	746
539	873	744
540	874	742
541	875	740
542	876	738
543	878	735
544	879	733
545	880	731
546	881	729
547	882	727
548	883	725
549	887	725
550	888	724
551	890	722
552	891	720
553	892	718
554	893	716
555	894	714
556	895	712
557	896	710
558	897	708
559	899	706
560	900	704
561	902	702
562	903	701
563	904	699
564	905	697
565	906	695
566	907	693
567	908	691
568	909	689
569	911	687
570	912	685
571	913	683
572	915	682
573	917	680
574	919	679
575	921	677
576	922	676
577	924	674
578	926	673
579	929	672
580	932	672
581	933	670
582	934	668
583	935	666
584	937	664
585	938	663
586	939	661
587	941	660
588	944	659
589	946	657
590	947	655
591	948	653
592	950	652
593	951	650
594	953	648
595	954	647
596	955	645
597	956	643
598	958	641
599	959	639
600	961	638
601	962	636
602	963	634
603	964	632
604	965	630
605	966	628
606	967	626
607	969	624
608	970	622
609	971	620
610	972	619
611	973	617
612	975	615
613	976	613
614	977	611
615	978	610
616	979	608
617	980	606
618	981	604
619	983	602
620	984	600
621	985	598
622	986	597
623	988	595
624	989	593
625	990	591
626	991	589
627	993	588
628	994	586
629	996	585
630	998	583
631	999	581
632	1000	580
633	1003	579
634	1004	577
635	1005	575
636	1006	573
637	1007	571
638	1008	569
639	1010	568
640	1011	566
641	1012	564
642	1013	562
643	1014	561
644	1016	559
645	1018	557
646	1021	557
647	1023	555
648	1024	554
649	1025	552
650	1026	550
651	1028	548
652	1029	546
653	1030	545
654	1031	543
655	1033	541
656	1034	540
657	1035	538
658	1037	536
659	1038	534
660	1039	533
661	1040	531
662	1042	529
663	1043	528
664	1044	526
665	1048	525
666	1049	524
667	1051	522
668	1052	520
669	1055	519
670	1056	518
671	1058	516
672	1060	515
673	1061	513
674	1063	512
675	1064	510
676	1066	508
677	1068	507
678	1069	505
679	1070	503
680	1072	502
681	1073	500
682	1077	499
683	1078	498
684	1079	496
685	1080	494
686	1082	493
687	1083	491
688	1084	489
689	1086	488
690	1087	486
691	1088	484
692	1090	483
693	1091	481
694	1093	479
695	1094	478
696	1096	476
697	1098	475
698	1100	474
699	1102	472
700	1104	471
701	1106	469
702	1111	469
703	1113	468
704	1114	466
705	1122	467
706	1124	466
707	1126	464
708	1128	463
709	1129	461
710	1131	459
711	1133	458
712	1134	456
713	1136	455
714	1138	453
715	1139	452
716	1141	450
717	1142	448
718	1148	448
719	1150	447
720	1152	445
721	1155	444
722	1156	443
723	1158	441
724	1160	440
725	1161	438
726	1162	436
727	1163	434
728	1165	433
729	1167	431
730	1168	430
731	1170	428
732	1171	426
733	1173	425
734	1174	423
735	1176	421
736	1177	420
737	1178	418
738	1180	416
739	1181	415
740	1182	413
741	1183	411
742	1185	410
743	1186	408
744	1188	406
745	1189	404
746	1190	403
747	1192	401
748	1193	400
749	1195	398
750	1197	397
751	1199	395
752	1200	393
753	1201	392
754	1203	390
755	1204	388
756	1206	387
757	1207	385
758	1210	384
759	1212	382
760	1214	381
761	1216	379
762	1218	378
763	1219	376
764	1221	375
765	1224	374
766	1226	372
767	1228	371
768	1229	369
769	1231	367
770	1232	366
771	1234	364
772	1235	362
773	1236	361
774	1239	359
775	1240	358
776	1242	356
777	1243	354
778	1245	353
779	1247	351
780	1248	350
781	1250	348
782	1252	347
783	1254	345
784	1258	344
785	1261	343
786	1262	341
787	1264	340
788	1265	338
789	1267	336
790	1271	336
791	1273	334
792	1275	332
793	1276	331
794	1277	329
795	1279	327
796	1282	326
797	1283	325
798	1286	323
799	1288	322
800	1289	320
801	1291	318
802	1293	317
803	1296	315
804	1298	314
805	1300	312
806	1302	311
807	1304	310
808	1306	308
809	1309	307
810	1311	305
811	1312	303
812	1314	302
813	1317	300
814	1318	299
815	1320	297
816	1322	296
817	1325	294
818	1327	293
819	1331	292
820	1336	291
821	1338	289
822	1340	288
823	1342	286
824	1344	285
825	1346	283
826	1347	281
827	1349	280
828	1351	278
829	1352	277
830	1354	275
831	1357	274
832	1366	274
833	1371	272
834	1372	271
835	1374	269
836	1375	267
837	1378	266
838	1379	264
839	1381	263
840	1382	261
841	1386	260
842	1389	258
843	1391	257
844	1394	255
845	1396	254
846	1401	253
847	1404	251
848	1406	250
849	1408	248
850	1410	246
851	1411	245
852	1413	243
853	1415	241
854	1419	240
855	1420	238
856	1422	237
857	1423	235
858	1426	234
859	1428	232
860	1430	230
861	1432	229
862	1434	227
863	1435	225
864	1437	224
865	1444	223
866	1445	221
867	1447	220
868	1448	218
869	1450	216
870	1451	214
871	1452	213
872	1456	211
873	1458	210
874	1459	208
875	1461	206
876	1462	205
877	1464	203
878	1465	201
879	1467	200
880	1471	198
881	1473	197
882	1474	195
883	1475	193
884	1476	191
885	1478	190
886	1479	188
887	1480	186
888	1481	185
889	1483	183
890	1485	181
891	1486	180
892	1488	178
893	1489	176
894	1491	174
895	1493	173
896	1494	171
897	1495	169
898	1496	168
899	1497	166
900	1500	164
901	1501	163
902	1503	161
903	1504	159
904	1505	158
905	1507	156
906	1508	154
907	1509	152
908	1511	151
909	1512	149
910	1517	148
911	1519	146
912	1520	144
913	1522	143
914	1523	141
915	1524	139
916	1525	138
917	1526	136
918	1528	134
919	1531	133
920	1532	131
921	1534	129
922	1535	128
923	1537	126
924	1538	124
925	1539	123
926	1540	121
927	1542	119
928	1543	117
929	1545	116
930	1546	114
931	1548	112
932	1549	111
933	1550	109
934	1551	107
935	1552	106
936	1553	104
937	1555	102
938	1556	101
939	1557	99
940	1560	97
941	1561	96
942	1562	94
943	1564	92
944	1565	91
945	1566	89
946	1567	87
947	1569	86
948	1570	84
949	1571	82
950	1572	81
951	1574	79
952	1576	77
953	1577	76
954	1578	74
955	1579	72
956	1581	71
957	1582	69
958	1583	67
959	1584	66
960	1585	64
961	1587	62
962	1588	61
963	1590	59
964	1591	57
965	1592	56
966	1593	54
967	1595	52
968	1596	51
969	1597	49
970	1598	47
971	1599	46
972	1600	44
973	1602	42
974	1604	41
975	1605	39
976	1606	37
977	1607	36
978	1608	34
979	1609	32
980	1610	31
981	1612	29
982	1613	27
983	1614	26
984	1615	24
985	1617	22
986	1618	21
987	1619	19
988	1621	18
989	1622	16
990	1623	14
991	1624	13
992	1625	11
993	1626	9
994	1627	8
995	1629	6
996	1630	4
997	1631	3
998	1633	1
999	1634	0
